DPT,ID,0,1,2,3,4,5,6,7,8,9,10,11
kErAnjf,85394,29,31,89,20,77,66,97,53,41,67,41,45
kErAnjf,27768,93,73,56,,85,59,40,56,18,47,46,54
kErAnjf,6240,76,,93,72,39,62,52,60,7,73,98,19
kErAnjf,52187,,,8,18,74,87,50,4,94,,87,58
kErAnjf,25673,49,,22,45,11,51,55,71,79,32,8,35
kErAnjf,21694,40,80,43,53,35,,62,58,90,4,65,56
TSINmXsVFCujMdGfnz,42323,26,74,6,60,21,,59,,3,11,70,28
TSINmXsVFCujMdGfnz,95685,50,7,72,73,39,21,58,,82,74,60,88
TSINmXsVFCujMdGfnz,54297,,71,50,52,57,99,,62,89,53,91,34
TSINmXsVFCujMdGfnz,78708,27,17,2,97,,10,16,25,54,27,70,
YVjnTBeNAX,84611,30,13,8,33,62,27,92,3,72,47,,37
YVjnTBeNAX,49494,43,59,57,75,24,3,27,44,98,57,14,35
YVjnTBeNAX,65645,76,2,,51,85,99,7,32,78,49,80,
YVjnTBeNAX,13885,36,51,11,46,44,96,18,,64,,21,27
QYk,89092,18,92,61,25,91,91,94,11,85,33,28,59
QYk,91242,44,59,77,61,79,97,29,30,79,54,29,61
snAyWjLDJfRVdGb,53862,14,47,5,55,18,86,53,58,53,5,14,64
snAyWjLDJfRVdGb,47154,17,14,22,,32,80,62,24,88,63,2,28
QHblRDGXvnVTqfoFZ,51267,24,,39,47,42,98,82,46,54,37,93,17
QHblRDGXvnVTqfoFZ,5213,50,67,86,6,15,89,59,90,77,18,87,85
QHblRDGXvnVTqfoFZ,24824,,18,56,58,16,,12,73,12,69,7,28
QHblRDGXvnVTqfoFZ,69264,55,28,49,98,11,,72,85,78,43,73,55
QHblRDGXvnVTqfoFZ,98828,64,99,53,71,,,52,59,82,88,92,48
TnzQvLAHD,6180,,20,17,81,88,45,2,50,46,77,,53
TnzQvLAHD,4349,37,,2,85,50,72,26,37,,24,27,47
TnzQvLAHD,90229,77,44,10,81,88,79,33,,28,,94,81
TnzQvLAHD,37714,53,99,71,11,19,80,81,78,19,75,31,54
TnzQvLAHD,59661,28,44,60,,,91,94,23,2,36,87,25
TnzQvLAHD,9993,44,34,8,38,31,91,71,,76,54,97,89
TnzQvLAHD,89357,56,58,4,70,32,18,9,81,60,37,39,11
WaiYC,99313,39,10,,0,28,25,,89,61,72,34,84
WaiYC,55312,49,89,84,16,88,85,11,15,,61,10,
WaiYC,72122,41,51,20,12,12,75,76,16,22,,72,17
WaiYC,88370,80,23,,77,26,19,9,85,20,,81,97
eSiz,66156,17,13,66,34,38,9,29,15,77,28,90,51
eSiz,72236,,13,68,9,29,42,27,34,62,14,20,25
