DPT,ID,0,1,2,3,4,5,6,7,8,9,10,11
LdZKmoawsbUrzkMVHC,85193,82,68,98,97,67,33,62,28,48,25,77,12
LdZKmoawsbUrzkMVHC,61299,26,25,85,79,18,40,,87,1,26,,89
LdZKmoawsbUrzkMVHC,43853,64,42,30,62,72,86,,36,81,51,43,58
LdZKmoawsbUrzkMVHC,14913,12,60,89,96,65,,57,63,92,7,4,47
LdZKmoawsbUrzkMVHC,35604,51,55,76,81,49,12,83,48,62,48,47,71
LdZKmoawsbUrzkMVHC,40252,14,8,49,36,97,65,,37,76,7,28,1
SpRxuH,42781,27,64,7,75,28,93,,7,76,62,76,26
SpRxuH,30986,38,58,16,18,8,79,0,85,24,89,17,82
SpRxuH,38488,48,82,,91,65,46,31,27,67,27,71,82
IWMlvLNsBgYkQzyrST,54897,98,16,21,,87,23,19,71,94,3,,22
IWMlvLNsBgYkQzyrST,4370,95,98,61,55,47,51,14,17,83,55,33,20
IWMlvLNsBgYkQzyrST,21070,0,56,75,34,97,,6,0,3,25,89,70
IWMlvLNsBgYkQzyrST,76281,83,21,,37,53,44,53,13,71,76,67,45
qZw,93899,71,78,68,9,73,44,72,,,95,41,39
qZw,6460,69,98,35,34,4,3,13,49,78,69,65,38
qZw,78976,22,,77,78,43,82,14,25,,,48,
qZw,10606,32,58,58,95,24,60,51,91,64,8,73,4
kvlGrOaZJLWTFIMKXHQt,37420,88,1,86,65,,33,74,10,61,44,85,85
kvlGrOaZJLWTFIMKXHQt,94129,76,41,55,57,,70,64,55,18,88,,44
GNwAZMTHgSh,45038,50,20,77,6,12,25,63,47,52,71,71,16
GNwAZMTHgSh,40837,78,91,,,24,32,9,15,71,27,72,29
GNwAZMTHgSh,71912,77,31,24,95,96,82,17,,60,48,19,74
GNwAZMTHgSh,93445,92,8,73,25,6,36,38,31,73,77,27,
GNwAZMTHgSh,2678,9,44,,12,27,35,80,64,13,96,,26
GNwAZMTHgSh,45930,53,93,98,64,,28,52,9,,9,40,10
GNwAZMTHgSh,88364,43,24,10,11,59,23,45,64,38,52,,3
DFIhPMkZvwxmRzO,29032,15,33,73,42,34,21,10,16,61,49,93,37
DFIhPMkZvwxmRzO,27144,9,3,70,55,20,67,28,18,90,,87,75
DFIhPMkZvwxmRzO,54417,99,19,92,91,73,,59,62,7,73,53,52
SVHQIONZPqLdFx,87370,34,71,2,56,61,0,13,32,52,13,93,38
SVHQIONZPqLdFx,42618,,45,47,30,87,84,,59,55,11,80,91
SVHQIONZPqLdFx,793,78,,35,42,98,36,94,,76,,22,31
SVHQIONZPqLdFx,24721,40,33,25,79,44,99,98,59,21,65,8,49
oulxzIXFYrMNnKth,11789,11,92,9,45,21,28,61,67,95,,99,49
oulxzIXFYrMNnKth,16996,74,6,98,65,40,26,55,,63,69,92,88
